314,265,1.0176,0.10287,121.21,164.56,3,7,0.050484,0.049333,0.046038,0.016679,0,0,0.035994,0.046824,0.03941,0.099935,0.12042,0.0056761,0.0064257,0.014555,0.039799,0.051037,0.83098,0.27316,0.36041,0.20284,0,0,0.079078,0.44447,0.53391,0.10453,0.17043,0.042496,0.04557,0.3987,0.022466,0.31226,73.409,40.201,15.1,29.168,0,0,21.626,69.486,70.538,35.721,8.9411,36.497,7.0957,58.338,42.719,23.492,0
226,243,0.63804,0.054263,316.21,117.82,32,5,0.03924,0.033965,0.027226,0.056994,0,0,0.063923,0.0019922,0.01075,0.0097316,0.22385,0.19565,0.0078362,0.074917,0.096416,0.031606,0.0058067,0.3693,0.50098,0.092563,0,0,0.27092,0.47617,0.15484,0.24547,0.60695,0.44622,0.071606,0.033932,0.47732,0.33158,53.439,57.749,18.103,28.266,0,0,23.015,10.749,52.816,37.14,53.901,59.635,13.52,40.764,82.449,54.978,0
347,607,0.92199,0.003956,327.24,152.52,28,3,0.040991,0.025414,0.046921,0.029617,0,0,0.039351,0.015101,0.04836,0.026062,0.22385,0.19558,0.0039681,0.040614,0.096416,0.026312,0.04524,0.28353,0.27622,0.20616,0,0,0.36335,0.49389,0.17073,0.14106,0.60695,0.041637,0.033399,0.0016775,0.47732,0.31211,53.705,91.761,17.123,40.874,0,0,26.817,31.79,66.267,52.875,53.901,82.627,35.155,50.136,82.449,7.7779,0
249,84,1.3014,0.048182,256.46,186.12,10,89,0.038795,0.034057,0.028706,0.019097,0,0,0.057469,0.022607,0.0091089,0.041182,0.22385,0.19565,0.060151,0.086342,0.096416,0.028506,0.036762,0.26059,0.54977,0.26294,0,0,0.37751,0.56151,0.33762,0.13735,0.60695,0.44622,0.006414,0.019828,0.47732,0.29165,52.766,74.996,12.888,41.998,0,0,20.368,45.114,76.762,42.785,53.901,59.635,28.863,46.386,82.449,41.864,0
238,213,0.88875,0.026375,383.58,214.84,9,53,0.050484,0.049291,0.13003,0.038274,0,0,0.012614,0.072383,0.059618,0.0087269,0.22385,0.19565,0.062943,0.11647,0.096416,0.030376,0.83098,0.32922,0.64539,0.17008,0,0,0.4382,0.60152,0.091674,0.033526,0.60695,0.44622,0.24321,0.022023,0.47732,0.24978,73.409,43.845,23.205,23.952,0,0,28.295,72.568,51.958,54.562,53.901,59.635,36.42,52.585,82.449,79.845,0
129,82,0.69221,0.014145,534.5,60.307,29,10,0.031245,0.019033,0.0049749,0.013575,0,0,0.032444,0.04499,0.087322,0.013369,0.22385,0.14681,0.022852,0.033081,0.078572,0.02495,0.0012474,0.33811,0.46159,0.093146,0,0,0.14507,0.27302,0.36315,0.048034,0.60695,0.35099,0.052165,0.021164,0.061792,0.41187,37.758,80.686,1.1997,35.094,0,0,15.533,25.758,60.761,46.076,53.901,46.435,24.411,39.182,85.815,100.25,0
314,560,0.8884,0.032424,233.74,86.35,15,21,0.040073,0.033547,0.037195,0.004525,0,0,0.002735,0.036249,0.047122,0.055284,0.22385,0.17552,0.080945,0.099574,0.085427,0.029164,0.13722,0.40768,0.037967,0.097083,0,0,0.2966,0.52437,0.29237,0.24013,0.60695,0.42359,0.028597,0.012881,0.1538,0.31205,51.428,60.5,7.9579,34.722,0,0,19.069,5.3076,55.239,49.188,53.901,19.5,19.112,26.358,91.583,59.326,0
434,475,1.4028,0.028266,360.99,147.1,29,18,0.050484,0.043481,0.0022726,0.018695,0,0,0.014116,0.028983,0.011337,0.081959,0.22385,0.19565,0.079656,0.0545,0.096416,0.031238,0.83098,0.30761,0.80317,0.14374,0,0,0.29357,0.47683,0.1422,0.091404,0.60695,0.44622,0.15164,0.044298,0.47732,0.34657,73.409,59.528,20.95,58.159,0,0,39.458,25.068,90.578,62.914,53.901,59.635,39.971,51.964,82.449,18.134,0
312,263,1.394,0.082791,239.33,25.821,10,8,0.044551,0.044614,0.024596,0.036345,0,0,0.055718,0.038298,0.090193,0.030064,0.2101,0.13587,0.068278,0.031478,0.042928,0.031668,0.088315,0.28124,0.18742,0.179,0,0,0.30523,0.23436,0.53704,0.26837,0.13942,0.19306,0.072293,0.2237,0.074543,0.36353,63.494,58.69,20.243,31.052,0,0,20.749,19.146,46.957,43.471,35.859,38.816,36.384,99.556,59.216,26.171,0
515,397,1.4099,0.029982,221.4,173.47,29,32,0.042139,0.029285,0.049827,0.079666,0,0,0.068869,0.070396,0.049167,0.035031,0.22385,0.19565,0.0022434,0.062459,0.096416,0.026387,0.032243,0.17084,0.30617,0.27041,0,0,0.24528,0.2223,0.28045,0.28964,0.60695,0.44622,0.020916,0.23193,0.47732,0.31833,61.469,77.187,28.775,38.324,0,0,17.694,12.313,69.465,47.931,53.901,59.635,44.522,105.54,82.449,58.037,0
